回数,入力キー,押下時間,反応時間
1,p,0.09515370000000001,0.35896490000000014
2,p,0.08004289999999958,0.2552640000000004
3,p,0.0804355000000001,0.20287960000000016
4,p,0.06798320000000047,0.23188839999999988
5,p,0.10798199999999891,0.2040432000000001
6,p,0.1198655999999989,0.3769720000000003
7,p,0.11197429999999997,0.2412188999999998
8,p,0.09198710000000077,0.24586419999999976
9,p,0.1039721999999994,0.4995206000000003
10,p,0.07993939999999888,0.2012192000000006
11,p,0.09965899999999905,0.2515426999999999
12,p,0.09598010000000023,0.14313429999999983
13,p,0.09605979999999903,0.2324628999999998
14,p,0.10393580000000036,0.18499060000000078
15,p,0.1441082999999992,0.08873469999999983
16,q,0.09211600000000075,0.4711689999999997
17,q,0.12809090000000012,0.21106409999999798
18,q,0.16398170000000079,0.1151927999999991
19,q,0.11998799999999932,0.18549050000000022
20,q,0.0715734000000019,0.2007860000000008
21,q,0.15588930000000545,0.2290928999999977
22,q,0.12795039999999602,0.2159594000000027
23,q,0.1318280999999999,0.21665500000000293
24,q,0.13567940000000078,0.1868736999999996
25,q,0.11947449999999549,0.14132370000000094
26,q,0.11218110000000081,0.10934639999999973
27,q,0.15605169999999902,0.26715629999999635
28,q,0.09992650000000225,0.11893049999999761
29,q,0.12003340000000406,0.16626069999999515
30,q,0.07614930000000442,0.13895679999999544
31,o,0.10404379999999946,0.23876190000000008
32,o,0.10366089999999417,0.2011995000000013
33,o,0.08367660000000399,0.22329549999999898
34,o,0.08798649999999952,0.12522249999999957
35,o,0.09198680000000081,0.12948089999999723
36,o,0.13199829999999935,0.2691829000000041
37,o,0.09216980000000063,0.1408363000000037
38,o,0.12813839999999743,0.32087669999999946
39,o,0.10808800000000218,0.07644470000000325
40,o,0.10417509999999908,0.2027959999999993
41,o,0.09981830000000258,0.1998539000000008
42,o,0.04403269999999537,0.20030410000000387
43,o,0.04798060000000248,0.2483530000000016
44,o,0.1037016999999949,0.2734288000000049
45,o,0.0684880000000021,0.15313210000000055
46,w,0.09597370000000183,0.2830534
47,w,0.11629219999998952,0.17489880000000824
48,w,0.14004660000000513,0.16291319999999132
49,w,0.13223019999999508,0.17189410000000294
50,w,0.10393860000000643,0.13866369999999506
51,w,0.07591419999999971,0.14873439999999505
52,w,0.1001626999999985,0.13483630000000346
53,w,0.09992059999999015,0.21920180000000755
54,w,0.09548819999999125,0.08437470000001213
55,w,0.09185819999999012,0.17694540000000814
56,w,0.02813879999999358,0.16094130000000462
57,w,0.04776689999999917,0.21297090000000196
58,w,0.08392690000000869,0.16911120000000324
59,w,0.0881590999999986,0.17649409999999932
60,w,0.08404480000000092,0.239407700000001
