count,key,pressing_time,reaction_speed
1,p,0.06744079999999997,0.29846910000000015
2,;,0.09591750000000054,0.05289179999999938
3,p,0.08794630000000048,0.007025900000000362
4,;,0.06391539999999907,0.06606880000000004
5,p,0.09240840000000006,0.07729370000000024
6,;,0.09589850000000055,0.04937280000000044
7,p,0.08389309999999917,0.02843340000000083
8,;,0.09617120000000057,0.015970199999999934
9,p,0.10353489999999965,0.1144614999999991
10,;,0.08356090000000016,0.1464224000000005
11,p,0.14385099999999973,0.12326140000000052
12,;,0.11609349999999985,0.01706849999999882
13,p,0.1124054000000001,0.03820599999999885
14,;,0.7357039000000007,0.05259169999999891
15,p,0.11221100000000206,0.23555649999999773
16,;,0.1280659999999969,0.22833710000000096
17,p,0.09575129999999987,0.1414839999999984
18,;,0.10027009999999947,0.04338830000000016
19,p,0.10391630000000163,0.12866479999999925
20,;,0.09633739999999946,0.03874409999999884
21,q,0.08395029999999792,0.24960310000000163
22,a,0.10786549999999906,0.10134109999999907
23,q,0.08797659999999752,0.04404970000000219
24,a,0.12402919999999895,0.03657480000000035
25,q,0.11158119999999982,0.02713160000000059
26,a,0.5080750000000016,0.10434069999999807
27,q,0.0921233000000008,0.1887433999999999
28,a,0.13206890000000016,0.03942450000000264
29,q,0.09597199999999972,0.07103199999999887
30,a,0.09992010000000207,0.05824619999999925
31,q,0.15618299999999863,0.19383479999999764
32,a,0.10779610000000162,0.035389199999997345
33,q,0.10786560000000378,0.04555409999999682
34,a,0.11998559999999969,0.03147510000000153
35,q,0.11479920000000021,0.016606299999999408
36,a,0.11534009999999739,0.0323193000000046
37,q,0.10761970000000076,0.02517010000000397
38,a,0.11205240000000316,0.031929200000000435
39,q,0.1079857000000004,0.01446889999999712
40,a,0.10399019999999837,0.1648044000000013
41,o,0.07213889999999878,0.2813664000000031
42,l,0.06402139999999434,0.08595880000000022
43,o,0.08389850000000365,0.10259320000000116
44,l,0.08420639999999935,0.07235499999999462
45,o,0.06412859999999654,0.05757180000000517
46,l,0.08404509999999732,0.09824150000000031
47,o,0.07198119999999619,0.07768219999999815
48,l,0.06795309999999688,0.08050250000000148
49,o,0.0720509000000007,0.12062780000000117
50,l,0.10797139999999672,0.09900650000000155
51,o,0.06397270000000077,0.05633119999999536
52,l,0.09197619999999773,0.08246970000000431
53,o,0.06800729999999788,0.05087230000000176
54,l,0.09206980000000442,0.08192809999999895
55,o,0.08810110000000293,0.046633299999996325
56,l,0.08396869999999979,0.0683987999999971
57,o,0.09188190000000418,0.09930349999999777
58,l,0.0919898999999944,0.14345460000000543
59,o,0.09998350000000045,0.02286569999999699
60,l,0.08002499999999912,0.028715900000001682
61,w,0.08404809999998974,0.252547100000001
62,s,0.1119614999999925,0.016377500000004375
63,w,0.10390720000000897,0.09936650000000213
64,s,0.11611320000000092,0.05893809999999178
65,w,0.08794240000000286,0.11496520000000032
66,s,0.10403619999999592,0.07387770000001126
67,w,0.07984270000000038,0.07658870000000206
68,s,0.12320369999999059,0.0014014000000059923
69,w,0.08800839999999255,0.08967730000000529
70,s,0.10406849999999679,0.061088600000005044
71,w,0.08798299999999415,0.08459849999999847
72,s,0.09175239999999008,0.028437800000006064
73,w,0.07577840000000435,0.05145009999999672
74,s,0.07596429999999543,0.037997500000003015
75,w,0.10796799999999962,0.05641920000000766
76,s,0.05998060000000294,0.07814820000000111
77,w,0.07603220000000022,0.06617270000000985
78,s,0.08805160000000001,0.03676659999999288
79,w,0.0680246000000011,0.0408553999999981
80,s,0.08387659999999642,0.005290600000009249
p/;,4.0,4.0,0.0
q/;,1.0,1.0,0.0
o/a,3.0,3.5,0.5
w/s,1.0,1.0,0.0
